"","loan_amount","interest_rate","term","grade","state","annual_income","homeownership","debt_to_income"
"4061",10000,10.91,36,"B","NJ",40000,"MORTGAGE",13.68
"4062",27000,7.97,60,"A","TX",145000,"RENT",24.75
"4063",20000,15.04,36,"C","MN",90000,"MORTGAGE",22.17
"4064",12000,21.45,60,"D","NY",80000,"RENT",20.27
"4065",5000,16.01,36,"C","TX",30000,"OWN",37.4
"4066",6000,11.98,36,"B","WA",98000,"MORTGAGE",17.83
"4067",15000,13.59,36,"C","MI",43000,"RENT",25.73
"4068",3500,6.71,36,"A","MD",70000,"RENT",11.85
"4069",7325,10.91,36,"B","IL",42000,"RENT",19.31
"4070",12000,7.96,36,"A","NJ",35000,"RENT",9.91
"4071",12000,10.42,36,"B","TX",36000,"OWN",31.96
"4072",5000,7.35,36,"A","GA",50000,"MORTGAGE",8.93
"4073",5000,16.02,36,"C","TX",50000,"MORTGAGE",37.28
"4074",18000,16.01,36,"C","FL",67000,"MORTGAGE",19.25
"4075",3000,13.58,36,"C","CA",23000,"RENT",5.58
"4076",5000,10.42,36,"B","LA",28000,"OWN",8.66
"4077",40000,14.07,60,"C","NY",62000,"OWN",27.43
"4078",3500,7.97,36,"A","OH",69000,"RENT",23.93
"4079",40000,11.99,36,"B","TX",80000,"RENT",11.13
"4080",32000,13.59,36,"C","OR",55000,"MORTGAGE",21.53
"4081",6000,7.34,36,"A","KY",110000,"MORTGAGE",0.95
"4082",12000,15.04,36,"C","FL",70000,"MORTGAGE",34.27
"4083",25000,12.62,60,"C","TX",160000,"MORTGAGE",27.58
"4084",25000,19.42,36,"D","WV",75000,"RENT",9.44
"4085",5500,9.43,36,"B","FL",70000,"RENT",11.02
"4086",10400,16.02,36,"C","GA",55000,"MORTGAGE",50.91
"4087",9000,7.34,36,"A","VA",59390,"RENT",11.86
"4088",19800,14.07,60,"C","CA",35000,"MORTGAGE",45.75
"4089",25000,5.31,36,"A","AZ",169000,"MORTGAGE",13.15
"4090",10000,6.71,36,"A","NY",40000,"RENT",1.5
"4091",25000,7.35,60,"A","TX",60000,"OWN",14.71
"4092",25000,6.08,36,"A","WA",67000,"RENT",7.29
"4093",19000,6.71,36,"A","NY",130000,"OWN",15.26
"4094",40000,5.32,60,"A","NY",205000,"MORTGAGE",16
"4095",14400,6.08,36,"A","CA",69000,"RENT",6.96
"4096",27000,5.32,60,"A","TX",90000,"MORTGAGE",24.84
"4097",4800,16.02,36,"C","VA",31500,"RENT",31.13
"4098",20400,21.45,60,"D","AR",43000,"RENT",33.1
"4099",19200,19.03,60,"D","PA",40000,"OWN",50.3
"4100",5000,16.02,36,"C","FL",20000,"RENT",32.11
"4101",12000,21.45,36,"D","FL",54000,"RENT",33.01
"4102",30000,12.62,60,"C","NY",120000,"RENT",1.75
"4103",30000,10.41,36,"B","NJ",91200,"OWN",35.32
"4104",28000,28.72,60,"F","FL",75000,"MORTGAGE",28.61
"4105",12800,9.43,36,"B","OH",50000,"RENT",5.04
"4106",24000,10.42,36,"B","AK",21000,"MORTGAGE",24.19
"4107",12000,10.9,36,"B","NY",75000,"RENT",5.39
"4108",13000,9.43,36,"B","FL",57000,"MORTGAGE",9.01
"4109",10000,11.98,36,"B","ID",33000,"MORTGAGE",15.27
"4110",21600,20,36,"D","NV",75000,"RENT",9.23
"4111",14000,9.43,36,"B","NJ",92000,"RENT",7.08
"4112",9600,10.41,36,"B","AZ",30000,"OWN",22.24
"4113",40000,9.43,60,"B","NC",64000,"RENT",12.51
"4114",20000,9.44,36,"B","SC",28000,"RENT",24.86
"4115",12075,16.01,60,"C","WA",3e+05,"RENT",13.9
"4116",25000,9.93,60,"B","KY",120000,"MORTGAGE",21.87
"4117",10000,12.62,36,"C","MD",25000,"RENT",25.35
"4118",32000,16.01,36,"C","MD",82000,"RENT",20.27
"4119",4500,21.45,36,"D","CT",56000,"RENT",21.52
"4120",10000,7.96,36,"A","MD",1e+05,"MORTGAGE",8.62
"4121",23000,13.59,36,"C","WA",50000,"RENT",13.39
"4122",30800,13.59,36,"C","CT",106000,"MORTGAGE",28.6
"4123",20000,7.34,36,"A","VA",75000,"RENT",18.64
"4124",8000,18.45,36,"D","ID",0,"MORTGAGE",NA
"4125",7000,14.07,36,"C","CA",35000,"OWN",34.6
"4126",6000,12.61,36,"C","MO",43930,"RENT",27.27
"4127",28000,19.03,60,"D","CA",175000,"RENT",6.62
"4128",16000,11.98,36,"B","GA",56400,"MORTGAGE",17.6
"4129",7325,21.85,36,"D","AR",40743.25,"RENT",27.3
"4130",15000,12.62,36,"C","LA",30000,"OWN",20.72
"4131",25000,5.32,36,"A","TX",2e+05,"MORTGAGE",21.92
"4132",25825,19.42,36,"D","TX",36000,"OWN",29.03
"4133",15600,16.01,60,"C","TX",28000,"MORTGAGE",6.73
"4134",10000,11.99,60,"B","MN",139000,"MORTGAGE",29.57
"4135",5000,20,36,"D","NY",15000,"OWN",21.12
"4136",13000,11.98,36,"B","IL",120000,"MORTGAGE",8.46
"4137",15000,19.03,60,"D","MA",73000,"RENT",22.18
"4138",6000,6.08,36,"A","WA",65000,"RENT",3.97
"4139",1500,7.35,36,"A","NY",82000,"MORTGAGE",9.39
"4140",8000,7.35,36,"A","NH",50000,"RENT",12.51
"4141",30000,12.62,60,"C","MN",120000,"MORTGAGE",10.2
"4142",8500,13.59,36,"C","NY",65000,"OWN",30.71
"4143",7500,7.34,36,"A","FL",54000,"OWN",36.61
"4144",3500,7.35,36,"A","CA",195000,"MORTGAGE",10.37
"4145",6500,12.61,36,"C","FL",34000,"RENT",30.25
"4146",23200,7.35,36,"A","SC",101000,"MORTGAGE",17.54
"4147",10000,15.05,36,"C","MI",30000,"OWN",10.88
"4148",11200,18.45,60,"D","CA",95000,"MORTGAGE",16.79
"4149",10000,18.45,60,"D","AZ",29000,"RENT",4.72
"4150",30000,7.96,36,"A","CA",94000,"RENT",19.27
"4151",8400,11.99,36,"B","FL",34000,"RENT",17.05
"4152",7750,20,36,"D","NY",80000,"RENT",20.11
"4153",9100,25.82,36,"E","CA",35000,"RENT",20.51
"4154",30000,11.98,36,"B","MI",85000,"MORTGAGE",10.65
"4155",20675,13.59,60,"C","CA",64000,"RENT",15.47
"4156",16000,10.91,36,"B","FL",45000,"RENT",29.28
"4157",25000,9.44,36,"B","KS",120000,"MORTGAGE",9.94
"4158",12000,16.02,36,"C","PA",58000,"RENT",15.09
"4159",5000,7.97,36,"A","MS",62000,"MORTGAGE",3.43
"4160",12000,5.32,36,"A","TN",1e+05,"MORTGAGE",22.56
"4161",30000,10.41,36,"B","FL",78132.55,"MORTGAGE",4.68
"4162",30000,12.62,60,"C","MD",95000,"MORTGAGE",15.16
"4163",15000,10.9,60,"B","CA",120000,"MORTGAGE",9.34
"4164",17325,15.05,36,"C","FL",130000,"MORTGAGE",25.32
"4165",20000,9.93,36,"B","MA",1e+05,"RENT",9.16
"4166",7000,10.91,36,"B","WA",56000,"MORTGAGE",10.99
"4167",35000,13.58,60,"C","WA",105000,"RENT",25.1
"4168",16500,15.05,60,"C","GA",51000,"RENT",17.08
"4169",14800,22.91,36,"E","NM",72720,"MORTGAGE",22.21
"4170",6000,7.35,36,"A","AZ",70000,"MORTGAGE",14.49
"4171",40000,10.9,36,"B","CA",124800,"MORTGAGE",14.17
"4172",6000,17.47,36,"D","MN",60000,"OWN",15.62
"4173",15000,5.31,36,"A","CA",70000,"RENT",15.29
"4174",30000,9.43,60,"B","MD",120000,"MORTGAGE",14.66
"4175",19000,14.07,60,"C","CA",117000,"MORTGAGE",19.87
"4176",30000,10.41,36,"B","NC",57500,"RENT",16.89
"4177",1000,22.9,36,"E","AZ",40000,"RENT",17.85
"4178",15000,6.72,36,"A","CA",50000,"OWN",8.98
"4179",10000,13.58,36,"C","FL",23000,"RENT",16.08
"4180",40000,12.62,60,"C","IL",3e+05,"MORTGAGE",4.9
"4181",28000,15.05,60,"C","WY",64000,"OWN",25.3
"4182",10000,19.03,60,"D","MT",50000,"MORTGAGE",5.04
"4183",20000,11.99,60,"B","LA",256000,"MORTGAGE",7.24
"4184",3000,19.03,36,"D","FL",41600,"RENT",16.44
"4185",35000,16.01,60,"C","NY",205000,"RENT",28.78
"4186",14000,9.43,36,"B","NV",96000,"MORTGAGE",10.04
"4187",35000,6.08,36,"A","NJ",130000,"OWN",12.51
"4188",35000,16.01,36,"C","MI",94000,"MORTGAGE",5.41
"4189",4000,14.07,36,"C","CA",43000,"RENT",8.09
"4190",12800,6.71,36,"A","OR",67000,"MORTGAGE",21.48
"4191",7200,15.04,36,"C","MN",90000,"MORTGAGE",29.46
"4192",12000,7.35,36,"A","GA",50919,"MORTGAGE",7.57
"4193",35000,12.62,60,"C","TX",103000,"MORTGAGE",13.69
"4194",10000,7.34,36,"A","ME",56160,"RENT",14.54
"4195",14900,18.45,36,"D","NH",50731,"MORTGAGE",33.27
"4196",12600,11.98,60,"B","NY",68000,"RENT",20.32
"4197",20000,12.62,60,"C","WI",50000,"MORTGAGE",13.71
"4198",15000,16.02,36,"C","FL",36000,"MORTGAGE",21.93
"4199",6000,7.34,36,"A","WI",27600,"OWN",18.39
"4200",35000,21.45,60,"D","SC",62400,"RENT",12.56
"4201",24000,10.9,36,"B","CA",185000,"MORTGAGE",20.16
"4202",10000,10.41,36,"B","NY",70000,"RENT",28.84
"4203",10000,15.05,36,"C","AR",33000,"MORTGAGE",27.72
"4204",6600,9.93,36,"B","CT",81000,"MORTGAGE",16.79
"4205",6500,6.08,36,"A","IL",32000,"RENT",27.04
"4206",5000,19.42,36,"D","GA",52000,"RENT",29.11
"4207",1500,18.06,36,"D","NY",55000,"RENT",15.37
"4208",15000,10.91,36,"B","OH",40000,"MORTGAGE",20.94
"4209",20000,16.02,36,"C","CA",35000,"RENT",18.66
"4210",40000,7.35,60,"A","DC",350000,"RENT",10.28
"4211",25000,6.07,36,"A","WI",120000,"MORTGAGE",10.51
"4212",7200,14.08,36,"C","TX",25000,"RENT",7.73
"4213",8300,6.72,36,"A","FL",28800,"RENT",24.62
"4214",4000,10.42,36,"B","NY",130000,"RENT",0.75
"4215",35000,7.34,60,"A","MA",87812,"MORTGAGE",15.66
"4216",8000,14.08,36,"C","MO",29000,"RENT",20.9
"4217",33000,9.92,36,"B","IL",96000,"MORTGAGE",25.8
"4218",20000,20.39,60,"D","FL",80000,"OWN",15.32
"4219",1800,17.47,36,"D","NY",20000,"OWN",11.04
"4220",20000,18.45,60,"D","CO",60000,"OWN",47.54
"4221",5000,9.43,36,"B","GA",65000,"MORTGAGE",21.6
"4222",40000,7.96,36,"A","CA",160000,"MORTGAGE",0.46
"4223",18000,14.08,60,"C","KS",1e+05,"MORTGAGE",8.96
"4224",10000,5.32,36,"A","NC",44000,"MORTGAGE",0
"4225",10000,7.97,36,"A","CA",53000,"RENT",8.54
"4226",5000,9.43,36,"B","CA",55000,"OWN",9.06
"4227",16000,17.09,36,"D","FL",28000,"MORTGAGE",27.13
"4228",10000,20.39,36,"D","OR",105000,"MORTGAGE",26.62
"4229",21800,5.31,36,"A","AK",115800,"MORTGAGE",26.9
"4230",10000,6.72,36,"A","UT",30000,"RENT",23.16
"4231",25000,10.41,36,"B","MN",180000,"OWN",11.71
"4232",12800,9.44,36,"B","TX",40000,"RENT",21.9
"4233",20050,12.62,60,"C","NJ",81750,"MORTGAGE",18.97
"4234",32000,11.98,36,"B","NY",350000,"RENT",16.99
"4235",6500,7.96,36,"A","IN",39500,"MORTGAGE",17.02
"4236",40000,6.72,36,"A","WA",1050000,"MORTGAGE",7.54
"4237",15000,14.07,36,"C","FL",75000,"RENT",34.78
"4238",12000,9.92,36,"B","IL",65000,"MORTGAGE",19.76
"4239",37200,9.44,36,"B","TX",96000,"MORTGAGE",23.77
"4240",5000,10.91,36,"B","TX",60000,"RENT",22.28
"4241",12000,14.08,60,"C","FL",35000,"OWN",15.88
"4242",21000,16.01,36,"C","ME",90000,"MORTGAGE",32.16
"4243",8500,18.45,36,"D","WA",54000,"RENT",27.17
"4244",25000,15.05,36,"C","WI",1e+05,"MORTGAGE",26.57
"4245",16000,16.02,36,"C","KY",101000,"MORTGAGE",8.17
"4246",26525,13.59,60,"C","TX",74000,"MORTGAGE",10.22
"4247",2000,10.91,36,"B","OH",17000,"RENT",22.67
"4248",10000,16.02,36,"C","AZ",84000,"OWN",19.83
"4249",15000,15.05,60,"C","FL",68000,"MORTGAGE",27.64
"4250",30000,10.41,36,"B","AK",95000,"MORTGAGE",15.82
"4251",13000,9.93,36,"B","MO",80000,"MORTGAGE",18.12
"4252",25000,18.06,60,"D","WV",82000,"RENT",13.41
"4253",25000,26.3,36,"E","WA",172000,"MORTGAGE",12.45
"4254",21000,20.39,60,"D","GA",70000,"MORTGAGE",18.02
"4255",32000,16.02,36,"C","TX",50000,"MORTGAGE",26.55
"4256",26600,9.93,60,"B","NC",75000,"MORTGAGE",25.9
"4257",20000,7.96,36,"A","MI",71000,"MORTGAGE",6.56
"4258",10000,26.77,60,"E","IN",17340,"RENT",38.82
"4259",12000,6.08,36,"A","FL",79000,"OWN",22.52
"4260",25000,12.62,60,"C","TX",55000,"MORTGAGE",44.56
"4261",20000,14.07,60,"C","SC",80000,"MORTGAGE",18.98
"4262",2400,10.42,36,"B","NY",96000,"MORTGAGE",8.89
"4263",25000,25.81,60,"E","NJ",86000,"MORTGAGE",29.75
"4264",25000,6.08,36,"A","CA",51000,"RENT",3.51
"4265",2000,9.92,36,"B","IN",42000,"OWN",14.29
"4266",18000,20.39,60,"D","PA",65000,"MORTGAGE",22.73
"4267",5000,7.34,36,"A","NY",69000,"RENT",15.72
"4268",8400,10.9,36,"B","TX",30000,"RENT",23.96
"4269",11000,10.91,36,"B","NV",103000,"RENT",4.05
"4270",34950,6.08,36,"A","FL",231000,"RENT",10.41
"4271",25000,7.97,60,"A","MA",3e+05,"MORTGAGE",22.62
"4272",5000,7.35,36,"A","TN",54000,"MORTGAGE",1.78
"4273",29100,10.41,36,"B","IN",50000,"MORTGAGE",36.37
"4274",24000,17.09,60,"D","NM",160000,"MORTGAGE",17.34
"4275",20000,15.05,36,"C","WA",94000,"RENT",16.66
"4276",35000,21.45,60,"D","FL",5e+05,"MORTGAGE",3.18
"4277",18500,7.34,36,"A","MA",53200,"MORTGAGE",28.74
"4278",7000,9.43,36,"B","MO",30000,"MORTGAGE",6.8
"4279",14000,18.45,60,"D","FL",50000,"MORTGAGE",20.72
"4280",5000,6.71,36,"A","FL",35000,"OWN",45.47
"4281",6400,12.61,36,"C","CA",70000,"RENT",15.02
"4282",16000,7.34,36,"A","IL",75000,"MORTGAGE",17.49
"4283",6000,19.42,36,"D","FL",42000,"RENT",12.14
"4284",10000,9.44,36,"B","IL",30000,"RENT",15.2
"4285",12000,12.62,36,"C","CA",71000,"MORTGAGE",14.35
"4286",11500,11.99,60,"B","TX",54840,"OWN",23.02
"4287",7500,15.05,36,"C","AR",40000,"OWN",14.34
"4288",6000,16.01,36,"C","CT",40000,"RENT",8.91
"4289",16000,7.35,36,"A","NV",26600,"MORTGAGE",47.61
"4290",10000,7.35,36,"A","CA",59142,"MORTGAGE",8.79
"4291",30000,7.96,36,"A","AZ",108000,"MORTGAGE",35.09
"4292",40000,17.09,60,"D","TX",82000,"RENT",26.87
"4293",40000,22.91,36,"E","KS",65000,"MORTGAGE",36.54
"4294",16000,9.43,36,"B","CA",48370,"MORTGAGE",23
"4295",25000,6.08,36,"A","GA",82000,"MORTGAGE",25.53
"4296",1500,6.07,36,"A","CT",65000,"RENT",26.83
"4297",4000,11.98,36,"B","TX",35000,"MORTGAGE",17.01
"4298",20000,9.93,60,"B","MA",80000,"RENT",10.08
"4299",7500,20,36,"D","TN",38000,"OWN",51.14
"4300",30000,14.07,60,"C","NY",44000,"MORTGAGE",17.73
"4301",26000,6.07,36,"A","IL",80000,"MORTGAGE",3.12
"4302",20000,12.62,60,"C","NC",150000,"RENT",2.54
"4303",4000,12.62,36,"C","FL",94000,"MORTGAGE",18.26
"4304",5000,9.44,36,"B","CA",25920,"MORTGAGE",41.94
"4305",20000,6.08,36,"A","RI",70000,"RENT",9.72
"4306",8000,9.44,36,"B","NV",36000,"RENT",31.67
"4307",25000,12.62,60,"C","TX",1e+05,"RENT",12.86
"4308",5000,18.06,36,"D","CA",55000,"OWN",14.4
"4309",30000,7.35,36,"A","NC",140000,"MORTGAGE",11.5
"4310",21000,15.04,60,"C","IL",87000,"MORTGAGE",20.68
"4311",40000,10.42,60,"B","NJ",50000,"RENT",9.7
"4312",15000,17.09,60,"D","ME",40000,"MORTGAGE",20.89
"4313",24000,12.62,36,"C","MO",1e+05,"MORTGAGE",16.62
"4314",20000,11.98,60,"B","AZ",56820,"OWN",1.44
"4315",22000,11.98,36,"B","AZ",126200,"MORTGAGE",32.18
"4316",35000,10.9,60,"B","MD",160000,"MORTGAGE",33.97
"4317",8000,10.9,36,"B","FL",36171,"RENT",18.36
"4318",10000,17.09,36,"D","NY",60000,"RENT",19.35
"4319",4600,16.01,36,"C","IN",37000,"MORTGAGE",9.76
"4320",15000,7.35,36,"A","MA",50000,"RENT",28.44
"4321",12000,5.31,36,"A","HI",120000,"MORTGAGE",18.72
"4322",4000,6.72,36,"A","VA",45000,"MORTGAGE",21.6
"4323",30000,14.07,60,"C","NY",40000,"MORTGAGE",37.14
"4324",30000,6.71,36,"A","WA",155000,"OWN",8.9
"4325",40000,9.43,60,"B","CA",220000,"MORTGAGE",1.44
"4326",3500,6.72,36,"A","WA",72600,"RENT",16.71
"4327",6050,14.08,36,"C","CA",26000,"RENT",18.79
"4328",40000,7.35,36,"A","WA",118000,"MORTGAGE",17.29
"4329",10000,15.05,36,"C","MS",67000,"MORTGAGE",20.81
"4330",10500,16.02,36,"C","WV",16000,"RENT",28.13
"4331",37000,13.58,60,"C","PA",82000,"MORTGAGE",29.82
"4332",10000,11.99,36,"B","MA",40000,"RENT",23.1
"4333",30925,16.02,60,"C","NJ",110000,"RENT",14.68
"4334",17500,11.99,60,"B","NM",84000,"MORTGAGE",22.59
"4335",15000,17.47,60,"D","GA",45000,"RENT",28.26
"4336",20000,9.92,36,"B","VA",65000,"MORTGAGE",12.92
"4337",8000,5.32,36,"A","MN",54000,"RENT",3.91
"4338",6300,13.59,36,"C","KS",40000,"RENT",19.02
"4339",15000,9.93,36,"B","OK",97000,"MORTGAGE",32.87
"4340",7000,21.45,36,"D","FL",80000,"RENT",12.63
"4341",8000,16.02,36,"C","CA",13000,"OWN",19.85
"4342",10000,6.72,36,"A","NH",85000,"MORTGAGE",10.81
"4343",32000,21.45,60,"D","NJ",83000,"MORTGAGE",10.74
"4344",36000,11.98,60,"B","CA",160000,"OWN",18.25
"4345",9600,7.96,36,"A","AZ",65000,"MORTGAGE",16.97
"4346",15000,19.03,36,"D","NJ",50000,"RENT",31.4
"4347",40000,9.93,60,"B","FL",80000,"MORTGAGE",20.84
"4348",10500,14.07,36,"C","WA",28000,"RENT",34.76
"4349",12000,15.04,60,"C","WI",60000,"MORTGAGE",11.52
"4350",10200,9.44,60,"B","TX",98000,"MORTGAGE",30.82
"4351",22000,20,36,"D","WA",70000,"RENT",14.2
"4352",4500,11.99,36,"B","MI",50000,"RENT",12.41
"4353",5600,6.07,36,"A","FL",30000,"RENT",17.5
"4354",17000,9.43,60,"B","CA",70000,"RENT",9.89
"4355",6000,11.99,36,"B","TX",55000,"RENT",8.44
"4356",15000,19.03,36,"D","MA",55000,"MORTGAGE",22.21
"4357",9500,12.62,36,"C","TX",63000,"MORTGAGE",14.63
"4358",21000,7.34,36,"A","VA",42000,"RENT",4.31
"4359",15000,7.96,36,"A","IL",40000,"MORTGAGE",24.66
"4360",12000,10.41,36,"B","WA",48000,"RENT",27.78
"4361",11200,14.08,60,"C","NC",50000,"OWN",4.81
"4362",30000,19.42,36,"D","MA",165000,"MORTGAGE",14.2
"4363",6600,17.09,36,"D","WI",60000,"RENT",26.28
"4364",4000,9.93,36,"B","GA",43896,"MORTGAGE",4.05
"4365",25000,15.04,36,"C","CA",91000,"RENT",12.19
"4366",19000,6.71,36,"A","AK",35000,"OWN",12.31
"4367",17575,20.39,36,"D","ID",68750,"RENT",57.17
"4368",20000,23.88,60,"E","CA",49000,"MORTGAGE",32.79
"4369",1200,9.44,36,"B","CA",52000,"MORTGAGE",5.89
"4370",2100,19.03,36,"D","VA",110000,"RENT",7.72
"4371",29000,9.44,36,"B","AK",148000,"RENT",16.41
"4372",25000,9.92,36,"B","NY",75000,"RENT",16.87
"4373",16000,16.01,36,"C","CO",60000,"RENT",39.72
"4374",3000,9.93,36,"B","MN",10548,"RENT",25.6
"4375",25000,5.32,36,"A","MI",80000,"RENT",7.02
"4376",13500,17.09,60,"D","MN",34000,"RENT",26.79
"4377",25000,7.96,36,"A","OH",45000,"MORTGAGE",50.21
"4378",5400,7.34,36,"A","TN",37000,"MORTGAGE",13.17
"4379",6000,9.43,36,"B","CA",65000,"RENT",11.48
"4380",40000,10.91,36,"B","FL",175000,"OWN",11.36
"4381",35000,16.02,36,"C","NC",19000,"MORTGAGE",107.94
"4382",5000,11.99,36,"B","CA",20000,"RENT",7.14
"4383",30000,7.35,36,"A","CO",60000,"MORTGAGE",14.08
"4384",15000,23.87,36,"E","CA",30504,"OWN",39.54
"4385",14400,7.97,36,"A","OH",64000,"RENT",23.65
"4386",20000,14.08,36,"C","TX",78000,"OWN",28.78
"4387",30000,10.9,36,"B","MO",70000,"RENT",8.61
"4388",2500,14.07,36,"C","WI",37262,"OWN",47.47
"4389",32000,9.44,36,"B","CA",79000,"MORTGAGE",34.54
"4390",4000,9.92,36,"B","TN",38000,"MORTGAGE",0.63
"4391",8400,10.91,36,"B","VA",42000,"RENT",16.89
"4392",12000,11.99,60,"B","TX",50000,"OWN",22.49
"4393",21000,23.88,60,"E","CA",50000,"RENT",27.53
"4394",10000,16.02,36,"C","NY",99000,"MORTGAGE",14.03
"4395",25000,7.35,60,"A","NH",155000,"MORTGAGE",24.25
"4396",19000,21.85,36,"D","NJ",43000,"RENT",25.9
"4397",19450,21.45,36,"D","MA",271000,"MORTGAGE",20.72
"4398",16000,16.02,60,"C","CA",53000,"RENT",13.95
"4399",25200,10.91,36,"B","MN",94000,"MORTGAGE",1.81
"4400",20000,12.61,36,"C","FL",90720,"MORTGAGE",21.89
"4401",1300,10.91,36,"B","OH",21750,"RENT",27.92
"4402",14000,17.47,60,"D","OH",72000,"OWN",0.63
"4403",8400,9.44,36,"B","FL",44000,"OWN",32.77
"4404",22000,12.62,60,"C","TX",81000,"MORTGAGE",33.29
"4405",6400,14.08,36,"C","KS",95000,"OWN",23.02
"4406",6000,6.08,36,"A","AZ",54000,"RENT",19.84
"4407",9000,13.58,36,"C","ND",80000,"RENT",19.98
"4408",20000,9.93,36,"B","MI",71000,"OWN",7.36
"4409",25200,11.98,60,"B","KY",90000,"MORTGAGE",25.08
"4410",9900,7.35,36,"A","VA",39000,"OWN",21.48
"4411",12000,7.35,36,"A","NJ",120000,"OWN",8.04
"4412",35000,12.62,36,"C","WA",101920,"MORTGAGE",26.99
"4413",24000,11.99,60,"B","NC",65000,"RENT",30.08
"4414",20000,17.09,60,"D","TX",65000,"MORTGAGE",15.44
"4415",7000,7.34,36,"A","MO",910000,"MORTGAGE",0.4
"4416",35000,21.45,60,"D","NY",167000,"OWN",12.31
"4417",40000,9.43,60,"B","NY",120000,"MORTGAGE",16.09
"4418",4800,10.91,36,"B","PA",78000,"OWN",36.63
"4419",10000,12.61,36,"C","FL",57000,"MORTGAGE",13.33
"4420",12000,9.43,36,"B","CA",35000,"RENT",1.78
"4421",16000,9.92,36,"B","TX",87500,"MORTGAGE",24.81
"4422",30000,10.9,36,"B","GA",52000,"MORTGAGE",32.82
"4423",6000,11.98,36,"B","NJ",75000,"OWN",6.93
"4424",12800,17.09,36,"D","NJ",75000,"OWN",9.95
"4425",16000,25.82,36,"E","KY",30000,"RENT",46.36
"4426",5000,16.01,36,"C","TX",13000,"RENT",15.24
"4427",15000,19.42,60,"D","MD",55000,"OWN",22.95
"4428",34800,13.59,36,"C","CO",23898,"RENT",46.11
"4429",4500,9.44,36,"B","VA",84000,"MORTGAGE",30.94
"4430",40000,9.92,36,"B","WA",34047,"OWN",9.31
"4431",6025,10.9,36,"B","MA",63000,"MORTGAGE",18.1
"4432",24000,9.44,60,"B","MI",63000,"MORTGAGE",2.76
"4433",14000,13.58,60,"C","MD",47710.44,"MORTGAGE",12.91
"4434",12000,13.59,60,"C","IN",90000,"MORTGAGE",14.89
"4435",36000,9.43,60,"B","MA",70000,"RENT",9.48
"4436",16000,10.9,60,"B","TX",54000,"MORTGAGE",13.2
"4437",15000,20,60,"D","TX",66000,"OWN",39.57
"4438",10000,13.59,60,"C","NC",33110,"OWN",17.25
"4439",7500,15.05,36,"C","MA",62000,"RENT",11.47
"4440",6000,6.08,36,"A","NY",9840,"OWN",89.88
"4441",25600,15.05,60,"C","NV",60000,"RENT",20.82
"4442",25025,16.01,60,"C","FL",39000,"MORTGAGE",19.14
"4443",30000,10.9,60,"B","WA",76000,"MORTGAGE",23.69
"4444",13000,23.88,60,"E","SC",45360,"MORTGAGE",27.03
"4445",40000,9.43,36,"B","MN",180000,"MORTGAGE",8.19
"4446",30000,5.32,36,"A","CA",160000,"MORTGAGE",12.71
"4447",8500,10.91,36,"B","SC",59000,"RENT",6.85
"4448",15000,7.96,36,"A","CA",65000,"MORTGAGE",14.27
"4449",10000,9.44,36,"B","CA",48000,"RENT",25.48
"4450",24000,15.05,60,"C","OK",72000,"OWN",24.27
"4451",15000,15.04,36,"C","MD",165000,"MORTGAGE",31.72
"4452",3200,10.42,36,"B","OK",50000,"RENT",9.63
"4453",7000,5.32,36,"A","PA",116162,"RENT",6.57
"4454",10000,10.42,60,"B","TX",25000,"OWN",15.68
"4455",10000,7.35,36,"A","CO",65000,"RENT",21.44
"4456",15000,14.08,36,"C","TX",80000,"MORTGAGE",24.29
"4457",10000,5.31,36,"A","GA",36536,"MORTGAGE",21.35
"4458",26100,10.9,60,"B","WV",171000,"MORTGAGE",13.93
"4459",20000,16.02,60,"C","CO",205000,"RENT",12.62
"4460",10000,10.42,36,"B","FL",39579,"RENT",32.9
"4461",25000,11.99,36,"B","TX",86000,"MORTGAGE",10.75
"4462",35000,20,60,"D","FL",125000,"MORTGAGE",13.01
"4463",14000,13.59,36,"C","CA",115000,"MORTGAGE",11.02
"4464",30000,17.47,36,"D","NV",72000,"OWN",27.07
"4465",15000,19.42,60,"D","PA",55000,"MORTGAGE",27.33
"4466",4000,6.72,36,"A","CA",95000,"RENT",4.35
"4467",10000,14.08,36,"C","CA",54000,"RENT",9.78
"4468",24000,12.61,60,"C","OH",78000,"OWN",19.65
"4469",30000,5.32,36,"A","CA",230000,"MORTGAGE",12.71
"4470",3600,11.99,36,"B","MI",20000,"MORTGAGE",25.01
"4471",16000,6.71,36,"A","NY",67000,"RENT",22.99
"4472",10000,10.91,36,"B","NY",70000,"RENT",3.46
"4473",10000,15.05,36,"C","OH",69000,"OWN",13.32
"4474",14500,6.07,36,"A","NV",37000,"RENT",28.38
"4475",22400,11.98,60,"B","KS",110000,"MORTGAGE",19.57
"4476",25000,9.44,36,"B","FL",110000,"OWN",18.56
"4477",10000,6.71,36,"A","AL",146000,"MORTGAGE",9.3
"4478",14000,16.01,36,"C","FL",70000,"RENT",11.64
"4479",32000,7.97,60,"A","CA",140000,"OWN",18.13
"4480",14300,13.58,60,"C","CA",54000,"OWN",23.96
"4481",1400,24.84,36,"E","CA",124000,"OWN",0.24
"4482",38000,7.35,36,"A","FL",51000,"MORTGAGE",21.2
"4483",40000,10.42,36,"B","WI",1e+05,"MORTGAGE",14.29
"4484",25000,20.39,60,"D","MD",60000,"MORTGAGE",20.06
